name	description	price	image_src
Стрипсы (5 шт.)	Сочная, нежная курица в хрустящей панировке. Попробуйте новые стрипсы от Макдоналдс из 100% белого мяса!	139	https://eda.yandex/images/3512826/5d1096c64144ef1226d1be66ddd2db30-450x300.jpeg
Стрипcы (3 шт.)	Сочная, нежная курица в хрустящей панировке. Попробуйте новые стрипсы от Макдоналдс из 100% белого мяса!	85	https://eda.yandex/images/3191933/87ff36556eccf7841449588b1acc41af-450x300.jpeg
Чикен Макнаггетс (18 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	195	https://eda.yandex/images/3472725/4afb840c0b281385919f3c22c4d436b9-450x300.jpeg
Чикен Макнаггетс (9 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	99	https://eda.yandex/images/1387779/ca50e56a911e9c77b0b33223f2a64a77-450x300.jpeg
Чикен Макнаггетс (6 шт.)	Неподражаемые Чикен Макнаггетс – это сочное 100% белое куриное мясо в хрустящей панировке со специями. Только натуральная курочка без искусственных красителей и ароматизаторов и без консервантов	69	https://eda.yandex/images/1380157/afa725df37be4beefd0b0f085c674f0e-450x300.jpeg
Сырные Палочки (3 шт.)	Вкуснейшие сырные палочки в хрустящей панировке.	99	https://eda.yandex/images/3529908/bb1827fae00d5172b9d90310aed0316e-450x300.jpeg
Большой Снэк Бокс с Крыльями	Пикантные Куриные крылышки в хрустящей панировке – 4 шт. Неподражаемые Чикен МакНаггетс – 4 шт. Сырные палочки – 4 шт. 2 стандартные порции Картофеля фри	409	https://eda.yandex/images/3709189/b02297defa9dbf271c4be748374ebc41-450x300.png
Большой Снэк Бокс со Стрипсами	Сочные и нежные Стрипсы – 4 шт. Неподражаемые Чикен МакНаггетс – 4 шт. Сырные палочки – 4 шт. 2 стандартные порции Картофеля фри	379	https://eda.yandex/images/3550919/f05b7b2e3e2c72ce7d16cac7f717c523-450x300.png
Снэк Бокс с Крыльями	Пикантные Куриные крылышки в хрустящей панировке – 2 шт. Неподражаемые Чикен МакНаггетс – 2 шт. Сочные и нежные Стрипсы – 2 шт. Стандартная порция Картофеля фри	199	https://eda.yandex/images/3808326/2554689af40bf74c3887e0564c473320-450x300.png
Снэк Бокс	Неподражаемые Чикен МакНаггетс – 3 шт. Сочные и нежные Стрипсы – 2 шт. Маленькая порция Картофеля фри	145	https://eda.yandex/images/3454897/64e93867e87b952234c57425dbe2d11b-450x300.png
Наггетс Бокс	Неподражаемые Чикен МакНаггетс – 5 шт. Маленькая порция Картофеля фри	85	https://eda.yandex/images/3735503/3c0592e36bb94a8207a704aa648ed89c-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Сырные Палочки 4 Сыра (3 шт.)	Вкуснейшие сырные палочки, обжаренные в хрустящей панировке. Сочетание сыров Моцарелла, Гауда, Чеддер и Пармезан	-1	https://eda.yandex/images/3813301/9781fac47a2bcec234776e42d5377941-450x300.jpeg
Макфлейфор Фрайз Барбекю с  Беконом	Любимый Картофель фри с соусом Барбекю и беконом	149	https://eda.yandex/images/3525661/972be167a6e0d1aad6a2714f4a5ae140-450x300.png
Макфлейфор Фрайз по Деревенски Барбекю с Беконом	Любимый Картофель по-деревенски с соусом Барбекю и беконом	149	https://eda.yandex/images/3550919/74b03975d4366b9b52e778f491aa2fb6-450x300.png
Картофель по-деревенски	Вкусные, обжаренные в растительном фритюре ломтики картофеля со специями.	77	https://eda.yandex/images/1380298/cf9283e5f7eceaf38c9df534614ac629-450x300.jpeg
Картофель Фри	Вкусные, обжаренные в растительном фритюре и слегка посоленные палочки картофеля	67	https://eda.yandex/images/1387779/e6860d949709f6cf5625c8eaf79efcc2-450x300.jpeg
Яблочные дольки	Отборные, нарезанные дольками, свежие яблоки	55	https://eda.yandex/images/3807631/984be034d673a1333d0c9e5d6472f67b-450x300.jpeg
Морковные палочки	Отборная, нарезанная палочками, свежая морковка	55	https://eda.yandex/images/3525402/9fa7b10d49e82bd5cfef4c62aea11050-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Салат овощной	Хрустящие листья салата Айсберг, сочные томаты черри и маслины	99	https://eda.yandex/images/3502490/b85dd762a1961fcd8d2738f3aaab1170-450x300.jpeg
Салат Цезарь	Хрустящие листья салата Айсберг, сочные томаты черри, ароматный тертый сыр пармезан и нежнейшие куриные стрипсы	149	https://eda.yandex/images/3583740/c6733e27657f7ee88eba4aec0c52bee6-450x300.jpeg
Салат Цезарь с креветками	Хрустящие листья салата Айсберг, сочные томаты черри, ароматный тертый сыр пармезан и жаренные креветки в панировке	229	https://eda.yandex/images/3784951/d1aa3065e2b92d03b297f11c4aec61eb-450x300.jpeg
Яблочное пюре Агуша	Фруктовое пюре	55	https://eda.yandex/images/3559865/7c145882b95bab8618f2d74a383305c7-450x300.png
Донат с ванильным кремом	Аромантый донат с нежной начинкой из ванильного крема, покрытый белой и шоколадной глазурью	89	https://eda.yandex/images/3491582/5369e2c6d5d09d45fea01197d21b10df-450x300.jpeg
Донат с шоколадным кремом	Нежный донат с шоколадно-кремовой начинкой, покрытый молочной и шоколадной глазурью	89	https://eda.yandex/images/1380157/dbb9463e3493ce5da13308d6d3929d0d-450x300.jpeg
Макфлурри Вишневый пирог	Мороженое из цельного молока, взбитое с сочным топпингом с натуральными кусочками вишни и кубиками мягкого шоколадного бисквита	125	https://eda.yandex/images/3559865/b0f8c9004feb06d11d22d361a723b579-450x300.jpeg
Макфлурри Де Люкс Карамельно-Шоколадное	Мороженое из натурального цельного молока, взбитое с добавкой сливочной помадки с вафельно-шоколадной крошкой	114	https://eda.yandex/images/3580810/ab5285d3671f3f02e9c2f648d5ca579b-450x300.jpeg
Макфлурри Де Люкс Клубнично-Шоколадное	Мороженое из натурального цельного молока, взбитое с клубничным наполнителем и с вафельно-шоколадной крошкой	114	https://eda.yandex/images/3774488/408c4398f72d235df63489569602314e-450x300.jpeg
Пирожок Лесная ягода	Пирожок Лесная ягода — горячий пирожок из слоеного теста с хрустящей корочкой и начинкой из ягод черники, малины, ежевики, клубники и смородины	59	https://eda.yandex/images/3813301/c32109afa8004d09b31bc54b091fa64b-450x300.png
Пирожок Вишневый	Обжаренный во фритюре пирожок со сладкой начинкой из вишни	52	https://eda.yandex/images/1380157/7b5ee9b3e84ba0c34480280354a1b188-450x300.jpeg
Салфетка влажная		2	https://eda.yandex/images/1387779/a0ebce14f47a9f6bd1735032419afe30-450x300.jpeg
Пирожок Клубника-Малина	Два горячих мини-пирожка из хрустящего теста с начинкой из ароматных ягод клубники и малины	-1	https://eda.yandex/images/3528285/09bc1dab0b47ddde32d1c7b7084f23bb-450x300.jpeg
Соус Терияки	Классический  солоновато-сладкий соус  Азиатской  кухни на основе соевого соуса	30	https://eda.yandex/images/1387779/b67e77b0ca42c29c3238704a22762f40-450x300.jpeg
Соус Чесночный	Пикантный соус с нежным сливочно-чесночным вкусом	30	https://eda.yandex/images/1380157/74ae9cfa41ba13b25818fda5df2b76b6-450x300.jpeg
Соус Сырный		30	https://eda.yandex/images/1368744/ddc1ca8e52e8ee5674214ef9cdd181fc-450x300.jpeg
Соус Кисло-Сладкий		30	https://eda.yandex/images/1380157/7f7ddfbbf1c27f0a169147665a992887-450x300.jpeg
Соус Барбекю		30	https://eda.yandex/images/1387779/e4ef5f4b7d55087baef2035214336fb8-450x300.jpeg
Соус Горчичный		30	https://eda.yandex/images/1387779/5d4a98f78bea9b63f8164b550ae7debd-450x300.jpeg
Соус Тысяча Островов		30	https://eda.yandex/images/1380298/ac236f6465b73f06b793668934163853-450x300.jpeg
Соус Сладкий Чили		30	https://eda.yandex/images/1380157/dc89c409a43b53ed68fc47421c6a3b6a-450x300.jpeg
Кетчуп		30	https://eda.yandex/images/1380298/3aac3ac9439ee29476251c277cf70ca9-450x300.jpeg
Соус Цезарь	Классическая заправка Цезарь с кислинкой лимона и сливочным вкусом	30	https://eda.yandex/images/3595381/e11a23077b6393044bcce864f052fceb-450x300.jpeg
Оливковое масло	Натуральное оливковое масло высшей категории со свежим ароматом и гармоничным вкусом идеально дополнит вкус салатов	30	https://eda.yandex/images/3595156/d019d2b7786404efe869aabe36267f78-450x300.jpeg
Молочный Коктейль Клубничный	Великолепно взбитый коктейль, приготовленный из высококачественной молочной смеси и клубничного сиропа (Средний 470 мл, Большой 600 мл)	107	https://eda.yandex/images/3337779/9501bada7f49bf7eff783f09b1916691-450x300.jpeg
Молочный Коктейль Ванильный	Великолепно взбитый коктейль, приготовленный из высококачественной молочной смеси и ванильного сиропа (Средний 470 мл, Большой 600 мл)	107	https://eda.yandex/images/3508859/9b27427887fd29a7e8e34037aa386dd5-450x300.jpeg
Молочный Коктейль Шоколадный	Великолепно взбитый коктейль, приготовленный из высококачественной молочной смеси и шоколадного сиропа (Средний 470 мл, Большой 600 мл)	107	https://eda.yandex/images/3528285/59813bff141750cfd3f17b48c7e3a726-450x300.jpeg
Выгодная Пара с Капучино	Два Капучино 300 мл по специальной цене	158	https://eda.yandex/images/3502728/b533e5b51f7fa8d9d94f3652f0836446-450x300.png
Выгодная Пара с Латте	Два Латте 300 мл по специальной цене	158	https://eda.yandex/images/3513074/8ac6274a30cbd05c5d86882e1161de4c-450x300.png
Капучино Кленовый пекан	Молочный напиток с тонким ароматом эспрессо и плотной шапкой молочной пены со вкусом кленового сиропа и ореха пекан	128	https://eda.yandex/images/2750126/9c7d5eacad828d7728db097c396d9866-450x300.png
Пунш Пряная вишня-Смородина	Согревающий напиток на основе натурального пюре из ягод вишни и черной смородины с легкой ноткой пряности	99	https://eda.yandex/images/3770794/d6db1ead52c908d4449a62717e729d08-450x300.png
Латте	Молочный напиток с тонким ароматом эспрессо и нежной молочной пеной (Средний 300 мл, Большой 400 мл)	99	https://eda.yandex/images/3595381/a7558362f56f6da05faefcffcff027b8-450x300.jpeg
Капучино	Молочный напиток с тонким ароматом эспрессо и плотной шапкой молочной пены (Средний 300 мл, Большой 400 мл)	99	https://eda.yandex/images/3806023/d72ad58c300a729c3990e9421a90d9e3-450x300.jpeg
Американо	Чёрный кофе на основе порции эспрессо и горячей воды (Средний 300 мл, Большой 400 мл)	84	https://eda.yandex/images/3809330/cadf38fa3573ef9ded8e8d79603445ba-450x300.jpeg
Чай черный Эрл Грей	Чай черный с бергамотом Эрл Грей (Средний 300 мл)	70	https://eda.yandex/images/3583862/0cfc46323f484a6932d13b8acde46800-450x300.jpeg
Чай черный	Чай черный (Средний 300 мл)	70	https://eda.yandex/images/3436037/c051e7c09ac844987cce61a7e0f47902-450x300.jpeg
Чай зеленый	Чай зеленый (Средний 300 мл)	70	https://eda.yandex/images/3490335/7a591336d5ad293962259ea532e1e854-450x300.jpeg
Питьевая вода Аква Минерале газированная	Минеральная вода с газом (500 мл)	75	https://eda.yandex/images/1370147/ac6d9c3fe37c6617501f42d1204b96a3-450x300.jpeg
Питьевая вода Аква Минерале негазированная	Минеральная вода без газа (500 мл)	75	https://eda.yandex/images/1368744/ac8e8cebf5da90a06018e010017815a3-450x300.jpeg
Кока-Кола	Прохладительный газированный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/2394388/bb1392faa1b4602b9a559e36b78470ba-450x300.jpeg
Кока-Кола Без сахара	Прохладительный газированный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/2394388/bb1392faa1b4602b9a559e36b78470ba-450x300.jpeg
Спрайт	Прохладительный газированный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/3502728/c159a595e726212c51d57dec7d7e7e47-450x300.jpeg
Фанта	Прохладительный газированный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/3439028/3e383fcd73a9855d7d653b321f964fc3-450x300.jpeg
Липтон Айс Ти - Лимон	Прохладительный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/3490335/1019d565b6dc75aab208c3e8bcde43e2-450x300.jpeg
Липтон Айс Ти - Зеленый Чай	Прохладительный напиток (Средний 400 мл, Большой 500 мл)	65	https://eda.yandex/images/3490902/ac6f397a0ec79d8bfd47651eee9c24f3-450x300.jpeg
Апельсиновый сок	Свежевосстановленный апельсиновый сок (Средний 470 мл, Большой 600 мл)	84	https://eda.yandex/images/3749380/2681e3356e55ff13d0c35cf2819b3d74-450x300.jpeg
Яблочный Сок	Свежевосстановленный яблочный сок (Средний 470 мл, Большой 600 мл)	84	https://eda.yandex/images/3798638/267cba94ca4cbd23d9277358b2ac2be6-450x300.jpeg
Молоко	Молоко стерилизованное, классическое, жирность 3.5%, 200 мл	-1	https://eda.yandex/images/1368744/d04a5880a7c571245f8ef5ce4f29e726-450x300.jpeg
Хэппи Мил с игрушкой		189	https://eda.yandex/images/3531870/f7a3347a01365dcfedee2061e55cea71-450x300.png
Хэппи Мил с Сырными палочками или Салатом Овощным	Хэппи Мил с Сырными палочками или Салатом Овощным Мир Юрского периода	189	https://eda.yandex/images/3378693/e3a69eddeb9f95752627d3ed94e5285e-450x300.png
Игрушка из серии Мир Юрского периода	Игрушка Хэппи Мил в ассортименте	99	https://eda.yandex/images/3568095/63582cf112a5afdf84f2c54722c17ad1-450x300.png
Книжка Детективы Коротышки	Книжка Детективы Коротышки в ассортименте	99	https://eda.yandex/images/1962206/2a55d0b8b0092bfab58573e5198d01cf-450x300.png
Хэппи Мил Стандартный	Хэппи Мил Стандартный Детективы Коротышки	189	https://eda.yandex/images/2796335/fbf13907529c3db17032350eee58cb8f-450x300.jpeg
Хэппи Мил с Сырными палочками или Салатом Овощным	Хэппи Мил с Сырными палочками или Салатом Овощным Детективы Коротышки	189	https://eda.yandex/images/3525402/a83f084712ee22828a665f3026bbb1be-450x300.jpeg
Игрушка Вся правда о медведях	Игрушка Хэппи Мил в ассортименте	99	https://eda.yandex/images/1368744/caa1e6b517881da1bf9b3aa69825d94f-450x300.png
Яблочные дольки	Отборные, нарезанные дольками, свежие яблоки	55	https://eda.yandex/images/3807631/984be034d673a1333d0c9e5d6472f67b-450x300.jpeg
Морковные палочки	Отборная, нарезанная палочками, свежая морковка	55	https://eda.yandex/images/3525402/9fa7b10d49e82bd5cfef4c62aea11050-450x300.jpeg
Яблочное пюре Агуша	Фруктовое пюре	55	https://eda.yandex/images/3559865/7c145882b95bab8618f2d74a383305c7-450x300.png
Хэппи Мил Стандартный	Хэппи Мил Стандартный Том и Джерри	-1	https://eda.yandex/images/3559865/dc11256647e3d3a80ec172b0f288f3d7-450x300.png
Хэппи Мил Обед с игрушкой	Хэппи Мил Обед с игрушкой Космический Джем	-1	https://eda.yandex/images/3806466/842f7cd6a8344e494bdf7b1002a136a9-450x300.png
Хэппи Мил с Сырными палочками или Салатом Овощным	Хэппи Мил с Сырными палочками или Салатом Овощным Том и Джерри	-1	https://eda.yandex/images/3725642/6e81abede2ab42237c2bff258537fdcb-450x300.png
Хэппи Мил с Салатом Овощным или Сырными палочками	Хэппи Мил с Салатом Овощным или Сырными палочками Космический Джем	-1	https://eda.yandex/images/3596693/dfb38d1d3c97816c2de549dd104ad693-450x300.png
ИГРУШКА Том и Джерри	Игрушка Том и Джерри в ассортименте	-1	https://eda.yandex/images/2415806/99b91103f546657777de9e516983fbeb-450x300.png
Игрушка из серии Космический Джем	Игрушка Хэппи Мил в ассортименте	-1	https://eda.yandex/images/3506707/f42e807a2c53dfefc163344321461850-450x300.png
Игрушка Тинни Тай	Игрушка Хэппи Мил в ассортименте	-1	https://eda.yandex/images/1370147/5238a8639f5045fb18205d91ccd79fe9-450x300.png
Хэппи Мил с Салатом Овощным или Сырными палочками	Хэппи Мил с Салатом Овощным или Сырными палочками Космический Джем	-1	https://eda.yandex/images/3596693/dfb38d1d3c97816c2de549dd104ad693-450x300.png
Хэппи Мил с Салатом Овощным или Сырными палочками	Хэппи Мил с Салатом Овощным или Сырными палочками Вся правда о медведях	-1	https://eda.yandex/images/3806466/e21cd9365628fa4f1b8e2c8d90a82e80-450x300.png
Игрушка Лего Фильм	Игрушка Хэппи Мил в ассортименте	-1	https://eda.yandex/images/1380157/febb77ebcaea1ce98c10b3d17d018913-450x300.png
Хэппи Мил с Салатом Овощным или Сырными палочками	Хэппи Мил с Салатом Овощным или Сырными палочками Лего Фильм	-1	https://eda.yandex/images/3525661/67c6a87a4d3316918221e47fff0856c6-450x300.png
Хэппи Мил Обед с игрушкой	Хэппи Мил Обед с игрушкой Лего Фильм	-1	https://eda.yandex/images/3191933/659551d4d18dbe0dc7ca18303e9ec461-450x300.png
Большой Завтрак	Булочка, омлет, котлета из свинины, картофельный оладушек, джем (клубничный или абрикосовый) или мёд	-1	https://eda.yandex/images/1387779/7e11a9e73eb60a136471b35b4b4136a0-450x300.jpeg
Биг Брекфаст Ролл	Свиная котлета, бекон, омлет, сыр Чеддер , картофельная котлета, лепёшка, кетчуп	-1	https://eda.yandex/images/1368744/a7c96b9db243bfb8216b5631ec026278-450x300.jpeg
Биг Брекфаст Ролл МакКомбо Большой	МакКомбо Большой состоит из Биг Брекфаст Ролла, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	-1	https://eda.yandex/images/3502800/e674b1bbf3a8bdd7b7e90d69a3645b2e-450x300.png
Двойной МакМаффин с яйцом и свиной котлетой	Булочка с яйцом, две свиные котлеты, сыр Чеддер	-1	https://eda.yandex/images/1387779/f5b79b99ab6d66387689a86a6820b5d8-450x300.jpeg
Двойной МакМаффин с яйцом и свиной котлетой МакКомбо Большой	МакКомбо Большой состоит из Двойного МакМаффина, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	-1	https://eda.yandex/images/3813301/3996af01feb238244205454d761d2c93-450x300.png
Двойной Фреш МакМаффин	Булочка, две свиные котлеты, сыр Чеддер, помидор, салат Айсберг, соус Мак Чикен	-1	https://eda.yandex/images/1368744/c65606ffb64082f2cffa7ebdf6a5b6be-450x300.jpeg
Двойной Фреш МакМаффин МакКомбо Большой	МакКомбо Большой состоит из Двойного Фреш МакМаффина, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	-1	https://eda.yandex/images/3208959/53108677f75530628abc72569b844f60-450x300.png
Фреш Ролл	Свиная котлета, салат Айсберг, помидор, омлет, сыр Чеддер,  лепёшка, соус горчичный с хреном	-1	https://eda.yandex/images/1380157/33442581f77f71a69de34edc52de085e-450x300.jpeg
Фреш Ролл МакКомбо Большой	МакКомбо Большой состоит из Фреш Ролла, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	-1	https://eda.yandex/images/3506707/73fd7d401e7e417f4e8ead0823a95285-450x300.png
Фреш МакМаффин	Булочка, котлета из свинины, сыр Чеддер, салат Айсберг, помидор, соус Мак Чикен	-1	https://eda.yandex/images/1380157/0589923c9cd2729b6058c55260c3daad-450x300.jpeg
Фреш МакМаффин МакКомбо Большой	МакКомбо Большой состоит из Фреш МакМаффина, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться.	-1	https://eda.yandex/images/3456802/cd09a583791756ecf263994451ce0734-450x300.png
МакМаффин с яйцом и свиной котлетой	Булочка с яйцом, свиная котлета, сыр Чеддер	-1	https://eda.yandex/images/1380157/bba3f40a1e665dad5ecfc923c311d2b7-450x300.jpeg
МакМаффин с яйцом и свиной котлетой МакКомбо Большой	МакКомбо Большой состоит из МакМаффина с яйцом и свиной котлетой, Картофеля фри (бол.) или 2 Картофельных оладушков и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	-1	https://eda.yandex/images/3439767/bb22e8e445e833da589bdd96b8a8b493-450x300.png
